,product,uf,volume,year_month,unit
186,GASOLINA C (m3),MATO GROSSO,32436.703,2006-01-01,m3
187,GASOLINA C (m3),GOIÁS,76071.29,2006-01-01,m3
188,GASOLINA C (m3),DISTRITO FEDERAL,57433.852,2006-01-01,m3
189,GASOLINA C (m3),RONDÔNIA,16399.48184274536,2007-01-01,m3
190,GASOLINA C (m3),ACRE,4882.678978124006,2007-01-01,m3
191,GASOLINA C (m3),AMAZONAS,27996.88800246946,2007-01-01,m3
192,GASOLINA C (m3),RORAIMA,4621.942166992653,2007-01-01,m3
193,GASOLINA C (m3),PARÁ,34134.92331939096,2007-01-01,m3
194,GASOLINA C (m3),AMAPÁ,5407.356030142269,2007-01-01,m3
195,GASOLINA C (m3),TOCANTINS,157048.592779404,2007-01-01,m3
196,GASOLINA C (m3),MARANHÃO,30905.623530227353,2007-01-01,m3
197,GASOLINA C (m3),PIAUÍ,17927.281347769032,2007-01-01,m3
198,GASOLINA C (m3),CEARÁ,48480.192569691855,2007-01-01,m3
199,GASOLINA C (m3),RIO GRANDE DO NORTE,21284.39714136226,2007-01-01,m3
200,GASOLINA C (m3),PARAÍBA,25790.483801279326,2007-01-01,m3
201,GASOLINA C (m3),PERNAMBUCO,50343.23737737477,2007-01-01,m3
202,GASOLINA C (m3),ALAGOAS,13290.038878223333,2007-01-01,m3
203,GASOLINA C (m3),SERGIPE,14246.606108522967,2007-01-01,m3
204,GASOLINA C (m3),BAHIA,82177.36730663019,2007-01-01,m3
205,GASOLINA C (m3),MINAS GERAIS,237633.1113319973,2007-01-01,m3
206,GASOLINA C (m3),ESPÍRITO SANTO,37610.39371475479,2007-01-01,m3
207,GASOLINA C (m3),RIO DE JANEIRO,131168.67460424776,2007-01-01,m3
208,GASOLINA C (m3),SÃO PAULO,7153912.530037315,2007-01-01,m3
209,GASOLINA C (m3),PARANÁ,157981.42474007994,2007-01-01,m3
210,GASOLINA C (m3),SANTA CATARINA,111236.9610722916,2007-01-01,m3
211,GASOLINA C (m3),RIO GRANDE DO SUL,170834.51456686968,2007-01-01,m3
212,GASOLINA C (m3),MATO GROSSO DO SUL,26090.47029042983,2007-01-01,m3
213,GASOLINA C (m3),MATO GROSSO,29871.474662406516,2007-01-01,m3
214,GASOLINA C (m3),GOIÁS,74045.72599117357,2007-01-01,m3
215,GASOLINA C (m3),DISTRITO FEDERAL,60931.49336379083,2007-01-01,m3
216,GASOLINA C (m3),RONDÔNIA,16840.199664188156,2008-01-01,m3
217,GASOLINA C (m3),ACRE,5357.153824136462,2008-01-01,m3
218,GASOLINA C (m3),AMAZONAS,29934.889809359694,2008-01-01,m3
219,GASOLINA C (m3),RORAIMA,4455.766817223653,2008-01-01,m3
220,GASOLINA C (m3),PARÁ,42578.245240469354,2008-01-01,m3
221,GASOLINA C (m3),AMAPÁ,82509.62792657719,2008-01-01,m3
